TIME,MACD_MAIN,MACD_SIGNAL,AWESOME,STO_MAIN,STO_SIGNAL,PRICE
2022.10.03 09:42,-25.06,-28.27,-61.37,55.38,49.06,5308.50
2022.10.03 09:44,-23.65,-27.53,-56.94,70.97,60.05,5310.00
2022.10.03 09:46,-23.69,-27.54,-57.16,69.35,59.51,5309.50
2022.10.03 09:48,-21.73,-25.87,-49.48,43.64,58.77,5306.00
2022.10.03 09:50,-22.65,-25.97,-50.59,34.15,55.61,5294.50
2022.10.03 09:52,-23.21,-24.66,-50.44,8.28,18.83,5285.00
2022.10.03 09:54,-22.69,-24.60,-49.97,16.56,21.59,5291.50
2022.10.03 09:56,-20.83,-23.18,-46.99,41.51,28.04,5295.50
2022.10.03 09:58,-19.30,-22.38,-42.27,62.68,45.08,5299.00
2022.10.03 10:00,-18.02,-21.61,-35.58,77.34,62.27,5300.00
2022.10.03 10:02,-18.57,-21.15,-32.12,39.29,53.35,5288.00
2022.10.03 10:04,-20.24,-21.01,-32.79,6.67,31.59,5272.00
2022.10.03 10:06,-20.80,-20.84,-33.59,3.41,13.54,5269.00
2022.10.03 10:08,-20.80,-20.84,-33.68,6.16,14.46,5269.00
2022.10.03 10:10,-21.15,-20.62,-34.85,7.93,7.01,5265.00
2022.10.03 10:12,-21.10,-20.44,-35.11,11.90,8.67,5265.50
2022.10.03 10:14,-20.21,-20.29,-36.17,28.44,18.80,5267.00
2022.10.03 10:16,-19.92,-20.39,-35.61,28.40,22.46,5264.50
2022.10.03 10:18,-19.96,-20.40,-35.78,27.16,22.05,5264.00
2022.10.03 10:20,-18.65,-20.30,-33.23,35.90,30.85,5264.00
2022.10.03 10:22,-17.15,-19.88,-30.54,72.00,50.50,5269.00
2022.10.03 10:24,-16.79,-19.84,-30.16,75.90,51.80,5273.50
2022.10.03 10:26,-14.67,-18.56,-23.50,79.80,79.74,5271.00
2022.10.03 10:28,-12.87,-17.59,-18.34,87.13,86.01,5277.00
2022.10.03 10:30,-11.61,-16.58,-14.54,92.13,88.32,5277.50
2022.10.03 10:32,-9.81,-15.35,-10.85,87.37,87.63,5282.50
2022.10.03 10:34,-8.12,-14.01,-7.01,88.46,89.22,5285.50
2022.10.03 10:36,-6.82,-12.61,-3.99,86.27,87.74,5286.00
2022.10.03 10:38,-6.11,-11.28,-2.31,71.43,80.54,5283.50
2022.10.03 10:40,-5.91,-11.26,-2.14,76.92,82.38,5286.00
2022.10.03 10:42,-5.20,-9.97,-0.54,61.43,73.57,5283.50
2022.10.03 10:44,-5.71,-7.89,-2.62,9.52,35.04,5272.00
2022.10.03 10:46,-6.80,-7.28,-5.88,1.59,13.98,5265.00
2022.10.03 10:48,-7.55,-6.90,-9.34,2.01,3.23,5262.00
2022.10.03 10:50,-9.01,-6.92,-14.67,4.32,2.74,5254.00
2022.10.03 10:52,-9.34,-7.05,-17.19,10.29,6.38,5255.00
2022.10.03 10:54,-9.87,-7.39,-19.02,13.24,9.58,5253.00
2022.10.03 10:56,-9.52,-7.76,-18.89,31.58,19.91,5256.50
2022.10.03 10:58,-8.93,-8.14,-17.35,70.42,42.83,5259.50
2022.10.03 11:00,-8.42,-8.45,-15.34,75.95,60.38,5260.50
2022.10.03 11:02,-9.53,-8.90,-15.82,32.65,50.41,5250.00
2022.10.03 11:04,-8.79,-9.04,-14.12,41.44,46.77,5255.50
2022.10.03 11:06,-9.37,-9.22,-14.84,31.58,35.95,5249.50
2022.10.03 11:08,-8.99,-9.22,-15.46,30.19,31.67,5252.00
2022.10.03 11:10,-8.43,-9.08,-14.61,51.11,40.05,5254.00
2022.10.03 11:12,-8.51,-9.00,-14.38,50.00,42.43,5250.50
2022.10.03 11:14,-8.01,-8.85,-13.65,57.81,51.73,5252.50
2022.10.03 11:16,-8.05,-8.79,-13.32,41.07,47.85,5249.50
2022.10.03 11:18,-7.62,-8.59,-12.99,40.38,45.70,5250.50
2022.10.03 11:20,-7.90,-8.50,-14.18,33.33,39.57,5246.00
2022.10.03 11:22,-7.88,-8.35,-14.99,25.68,31.03,5245.50
2022.10.03 11:24,-8.60,-8.43,-15.80,16.09,27.83,5236.50
2022.10.03 11:26,-9.29,-8.46,-20.52,14.75,14.64,5236.00
2022.10.03 11:28,-9.22,-8.51,-21.78,25.86,18.45,5237.00
2022.10.03 11:30,-8.44,-8.48,-21.18,53.06,34.36,5242.00
2022.10.03 11:32,-8.68,-8.50,-21.52,46.94,32.32,5239.00
2022.10.03 11:34,-7.76,-8.48,-18.02,72.97,62.06,5242.00
2022.10.03 11:36,-7.98,-8.53,-16.86,52.46,59.84,5237.00
2022.10.03 11:38,-8.52,-8.63,-17.85,32.95,48.13,5231.50
2022.10.03 11:40,-8.21,-8.57,-17.18,37.37,41.84,5234.00
2022.10.03 11:42,-7.79,-8.42,-16.78,48.45,42.12,5235.50
2022.10.03 11:44,-7.57,-8.24,-15.97,54.55,47.11,5235.00
2022.10.03 11:46,-7.36,-8.08,-14.40,50.70,50.17,5234.00
2022.10.03 11:48,-8.31,-8.12,-14.94,21.95,37.42,5225.50
2022.10.03 11:50,-7.90,-8.05,-14.32,28.42,33.02,5229.00
2022.10.03 11:52,-7.28,-7.93,-13.90,54.84,41.10,5232.00
2022.10.03 11:54,-7.36,-7.85,-14.49,50.57,44.21,5229.00
2022.10.03 11:56,-7.50,-7.78,-14.39,36.00,42.33,5226.50
2022.10.03 11:58,-8.22,-7.85,-15.20,12.35,26.91,5220.50
2022.10.03 12:00,-8.46,-7.93,-16.59,8.99,15.54,5219.50
2022.10.03 12:02,-9.54,-8.21,-19.34,5.17,7.67,5212.00
2022.10.03 12:04,-10.10,-8.46,-22.37,17.81,11.90,5209.50
2022.10.03 12:06,-10.22,-8.47,-22.24,15.75,11.21,5208.00
2022.10.03 12:08,-10.65,-9.09,-24.39,22.22,19.62,5208.00
2022.10.03 12:10,-10.77,-9.10,-24.47,19.66,18.77,5206.50
2022.10.03 12:12,-12.01,-10.03,-26.28,9.80,15.22,5197.50
2022.10.03 12:14,-11.82,-10.43,-26.33,18.00,16.63,5200.50
2022.10.03 12:16,-11.51,-10.77,-26.36,32.97,23.22,5202.00
2022.10.03 12:18,-10.55,-10.89,-24.75,65.82,43.23,5207.00
2022.10.03 12:20,-10.51,-10.88,-24.75,65.43,43.10,5207.50
2022.10.03 12:22,-9.72,-10.87,-20.31,70.15,71.12,5204.50
2022.10.03 12:24,-9.72,-10.87,-20.44,70.15,71.12,5204.50
2022.10.03 12:26,-8.93,-10.69,-18.02,68.97,72.30,5209.00
2022.10.03 12:28,-8.17,-10.40,-16.18,79.25,72.79,5209.50
2022.10.03 12:30,-6.46,-9.34,-12.47,95.16,90.26,5212.00
2022.10.03 12:32,-6.04,-8.72,-10.85,85.48,90.72,5210.00
2022.10.03 12:34,-4.73,-7.95,-7.92,90.00,91.06,5215.50
2022.10.03 12:36,-3.68,-7.17,-5.11,98.59,94.87,5218.00
2022.10.03 12:38,-2.50,-6.30,-2.21,93.98,94.04,5221.50
2022.10.03 12:40,-2.63,-5.56,-1.00,61.90,78.81,5215.00
2022.10.03 12:42,-2.47,-5.54,-1.12,66.67,80.39,5217.00
2022.10.03 12:44,-2.53,-4.21,-0.73,25.00,43.89,5211.00
2022.10.03 12:46,-2.48,-3.67,-1.85,20.24,30.37,5211.00
2022.10.03 12:48,-2.44,-3.67,-1.89,21.43,30.76,5211.50
2022.10.03 12:50,-1.93,-2.77,-1.52,50.00,36.05,5214.00
2022.10.03 12:52,-2.40,-2.58,-1.95,35.71,36.40,5209.00
2022.10.03 12:54,-2.21,-2.43,-1.23,36.84,38.90,5211.00
2022.10.03 12:56,-1.89,-2.39,-0.81,50.00,43.29,5215.00
2022.10.03 12:58,-1.17,-2.19,0.77,77.61,56.91,5220.00
2022.10.03 13:00,-0.82,-2.01,2.08,85.53,71.05,5217.00
2022.10.03 13:02,-0.78,-1.81,3.07,75.00,79.38,5214.00
2022.10.03 13:04,-1.27,-1.53,3.71,29.49,51.29,5210.00
2022.10.03 13:06,-1.49,-1.46,2.41,15.79,31.43,5209.50
2022.10.03 13:08,-1.68,-1.39,0.59,13.89,19.16,5209.00
2022.10.03 13:10,-1.20,-1.34,1.14,30.56,24.71,5215.00
2022.10.03 13:12,-0.96,-1.10,1.02,64.41,47.04,5213.00
2022.10.03 13:14,-0.92,-1.09,0.93,66.10,47.60,5213.50
2022.10.03 13:16,-0.77,-1.05,1.74,64.91,59.06,5214.00
2022.10.03 13:18,-0.64,-1.02,2.47,58.00,61.80,5213.50
2022.10.03 13:20,-0.80,-1.04,2.26,50.00,59.14,5211.50
2022.10.03 13:22,-0.33,-0.96,1.75,59.57,57.36,5218.00
2022.10.03 13:24,-0.44,-0.86,1.75,48.89,52.82,5212.00
2022.10.03 13:26,-0.64,-0.76,0.86,44.90,51.12,5210.50
2022.10.03 13:28,-1.71,-0.84,-1.91,6.85,21.62,5204.50
2022.10.03 13:30,-1.68,-0.90,-3.06,17.86,14.89,5207.50
2022.10.03 13:32,-1.86,-1.03,-4.50,24.66,18.34,5207.00
2022.10.03 13:34,-3.62,-1.45,-8.51,17.76,18.00,5195.00
2022.10.03 13:36,-3.56,-1.72,-9.27,33.33,26.36,5200.00
2022.10.03 13:38,-3.57,-2.07,-9.85,48.15,36.47,5201.50
2022.10.03 13:40,-3.85,-2.46,-11.10,48.51,42.99,5199.50
2022.10.03 13:42,-4.25,-2.88,-11.46,38.37,42.44,5197.50
2022.10.03 13:44,-3.97,-3.16,-10.19,49.30,46.07,5200.00
2022.10.03 13:46,-5.00,-3.62,-12.02,34.15,39.10,5192.00
2022.10.03 13:48,-5.28,-4.01,-13.31,25.00,32.32,5191.50
2022.10.03 13:50,-4.90,-4.22,-12.78,43.37,36.82,5196.00
2022.10.03 13:52,-4.59,-4.35,-12.53,63.64,47.86,5197.00
2022.10.03 13:54,-4.72,-4.51,-12.02,55.41,53.61,5194.50
2022.10.03 13:56,-4.75,-4.63,-10.95,42.25,51.58,5193.50
2022.10.03 13:58,-4.26,-4.63,-9.44,48.39,51.05,5196.50
2022.10.03 14:00,-4.16,-4.65,-9.44,43.64,46.50,5195.50
2022.10.03 14:02,-3.93,-4.58,-9.27,37.21,42.00,5196.00
2022.10.03 14:04,-3.77,-4.56,-9.06,43.48,44.09,5198.00
2022.10.03 14:06,-3.23,-4.20,-7.49,64.29,54.10,5197.00
2022.10.03 14:08,-2.99,-4.17,-7.10,73.33,57.12,5200.00
2022.10.03 14:10,-2.09,-3.62,-4.50,86.79,79.91,5201.00
2022.10.03 14:12,-1.85,-3.59,-4.29,89.66,80.86,5204.00
2022.10.03 14:14,-0.67,-2.77,-0.37,87.67,89.11,5205.50
2022.10.03 14:16,-0.91,-2.80,-0.54,79.45,86.37,5202.50
2022.10.03 14:18,-0.72,-2.40,0.40,63.24,77.56,5202.00
2022.10.03 14:20,-0.16,-1.95,1.50,59.26,67.32,5207.00
2022.10.03 14:22,0.13,-1.13,2.28,53.33,55.59,5203.50
2022.10.03 14:24,-0.27,-0.86,1.40,20.00,39.39,5200.00
2022.10.03 14:26,-0.39,-0.87,1.57,14.55,37.57,5198.50
2022.10.03 14:28,-0.53,-0.66,1.34,8.20,22.25,5199.00
2022.10.03 14:30,-0.48,-0.50,1.08,12.90,11.88,5201.00
2022.10.03 14:32,-0.60,-0.40,0.69,26.67,19.98,5199.50
2022.10.03 14:34,-0.96,-0.44,-0.10,21.74,22.70,5197.00
2022.10.03 14:36,-0.64,-0.41,0.16,40.43,28.93,5201.00
2022.10.03 14:38,-0.65,-0.46,0.31,47.17,37.87,5199.50
2022.10.03 14:40,-0.51,-0.57,0.11,62.00,56.14,5200.50
2022.10.03 14:42,0.25,-0.45,1.86,88.33,73.17,5205.50
2022.10.03 14:44,-0.03,-0.48,1.39,76.67,69.29,5202.00
2022.10.03 14:46,-0.08,-0.43,1.88,71.19,73.26,5200.50
2022.10.03 14:48,-0.36,-0.42,1.86,40.00,62.62,5197.50
2022.10.03 14:50,-0.29,-0.39,1.59,31.37,47.52,5201.00
2022.10.03 14:52,0.26,-0.20,1.45,74.00,50.81,5204.00
2022.10.03 14:54,0.14,-0.21,1.28,68.00,48.81,5202.50
2022.10.03 14:56,0.18,-0.12,1.44,72.00,62.35,5202.00
2022.10.03 14:58,0.48,-0.00,2.13,72.55,70.85,5205.50
2022.10.03 15:00,1.08,0.22,3.84,81.63,76.23,5207.00
2022.10.03 15:02,0.89,0.31,3.53,54.35,66.76,5204.00
2022.10.03 15:04,0.78,0.43,3.16,35.56,53.05,5203.00
2022.10.03 15:06,0.64,0.53,2.82,22.73,36.08,5202.50
2022.10.03 15:08,0.87,0.64,2.21,48.98,40.63,5204.50
2022.10.03 15:10,1.21,0.78,2.55,68.97,53.79,5207.00
2022.10.03 15:12,1.08,0.86,2.64,57.81,57.44,5205.00
2022.10.03 15:14,1.02,0.92,2.52,50.00,56.49,5204.50
2022.10.03 15:16,1.11,0.97,2.88,49.18,53.34,5205.50
2022.10.03 15:18,0.39,0.87,1.38,19.35,36.11,5200.50
2022.10.03 15:20,-0.10,0.75,-0.39,10.45,22.71,5199.00
2022.10.03 15:22,0.13,0.71,-0.42,37.31,26.65,5202.50
2022.10.03 15:24,0.23,0.65,-0.42,61.67,40.95,5203.50
2022.10.03 15:26,0.56,0.62,0.02,81.36,63.88,5205.50
2022.10.03 15:28,-0.09,0.45,0.00,51.79,62.06,5200.00
2022.10.03 15:30,-0.67,0.23,-0.70,16.95,41.81,5197.50
2022.10.03 15:32,-1.25,-0.05,-2.35,11.11,24.55,5195.00
2022.10.03 15:34,-1.47,-0.29,-3.85,16.67,16.34,5195.50
2022.10.03 15:36,-1.93,-0.54,-5.54,8.96,11.46,5194.00
2022.10.03 15:38,-2.07,-0.79,-6.35,25.00,18.12,5194.50
2022.10.03 15:40,-2.44,-1.10,-7.03,32.69,23.60,5192.50
2022.10.03 15:42,-2.32,-1.08,-6.86,38.46,25.53,5194.00
2022.10.03 15:44,-2.35,-1.39,-7.00,44.44,34.41,5194.50
2022.10.03 15:46,-2.59,-1.70,-7.27,43.59,42.17,5191.50
2022.10.03 15:48,-2.15,-1.90,-6.62,62.50,50.18,5199.00
2022.10.03 15:50,-1.09,-1.97,-3.65,94.92,78.86,5201.50
2022.10.03 15:52,-1.08,-1.93,-3.00,77.27,80.96,5199.00
2022.10.03 15:54,-0.73,-1.79,-1.69,75.76,81.34,5200.00
2022.10.03 15:56,-0.96,-1.68,-1.40,52.73,67.07,5197.00
2022.10.03 15:58,-0.72,-1.66,-1.14,64.91,71.13,5199.50
2022.10.03 16:00,0.15,-1.15,-0.08,77.55,68.29,5203.50
2022.10.03 16:02,1.19,-0.69,2.27,90.54,78.68,5209.00
2022.10.03 16:04,1.96,-0.21,4.36,92.39,88.26,5211.00
2022.10.03 16:06,1.85,0.13,5.74,75.56,83.43,5207.00
2022.10.03 16:08,1.88,0.48,6.58,56.58,71.57,5206.00
2022.10.03 16:10,2.63,0.92,7.74,73.68,72.62,5211.00
2022.10.03 16:12,3.22,1.41,8.65,85.71,76.68,5213.50
2022.10.03 16:14,3.80,1.94,9.73,90.48,84.97,5215.50
2022.10.03 16:16,4.42,2.48,11.80,93.33,91.45,5218.00
2022.10.03 16:18,4.66,2.93,13.39,81.01,86.51,5218.00
2022.10.03 16:20,4.76,3.30,13.91,69.12,78.74,5217.50
2022.10.03 16:22,4.84,3.66,13.94,61.54,70.62,5217.50
2022.10.03 16:24,4.29,3.91,12.61,23.91,47.85,5213.50
2022.10.03 16:26,3.49,4.01,10.17,9.84,27.96,5209.50
2022.10.03 16:28,3.18,4.06,8.64,16.42,18.18,5210.50
2022.10.03 16:30,3.09,4.04,7.78,31.15,21.72,5212.50
2022.10.03 16:32,2.83,3.90,6.64,40.38,30.26,5212.00
2022.10.03 16:34,2.83,3.90,6.68,40.38,30.26,5212.00
2022.10.03 16:36,2.42,3.46,6.48,59.38,49.51,5212.00
2022.10.03 16:38,2.30,3.45,6.35,50.00,46.39,5210.50
2022.10.03 16:40,2.07,3.14,5.68,43.33,47.37,5211.00
2022.10.03 16:42,1.82,2.61,4.78,53.85,46.68,5212.00
2022.10.03 16:44,1.88,2.44,4.60,66.67,56.05,5213.00
2022.10.03 16:46,1.84,2.28,4.51,69.70,66.11,5213.00
2022.10.03 16:48,1.96,2.29,4.64,76.47,68.36,5214.50
2022.10.03 16:50,1.81,2.15,4.70,66.67,71.05,5212.50
2022.10.03 16:52,1.83,2.04,4.49,66.67,69.93,5214.50
2022.10.03 16:54,1.48,1.84,3.14,31.82,46.16,5212.50
2022.10.03 16:56,1.32,1.76,2.28,31.03,37.78,5212.00
2022.10.03 16:58,0.85,1.62,1.06,17.14,26.48,5209.50
2022.10.03 17:00,0.92,1.53,0.54,29.41,26.95,5211.50
2022.10.03 17:02,0.60,1.49,0.03,23.81,25.08,5207.50
2022.10.03 17:04,0.47,1.33,-1.02,41.30,32.18,5210.50
2022.10.03 17:06,0.21,1.14,-1.87,40.00,35.04,5208.50
2022.10.03 17:08,-0.33,0.68,-3.61,30.23,37.18,5207.50
2022.10.03 17:10,-0.33,0.68,-3.48,30.23,37.18,5207.50
2022.10.03 17:12,-0.54,0.44,-3.56,25.64,32.39,5207.00
2022.10.03 17:14,-0.59,0.02,-4.17,56.76,41.14,5208.50
2022.10.03 17:16,-1.24,-0.28,-5.06,25.00,32.82,5204.00
2022.10.03 17:18,-1.45,-0.50,-5.79,23.26,29.94,5204.00
2022.10.03 17:20,-1.64,-0.74,-6.62,29.79,29.06,5203.50
2022.10.03 17:22,-1.63,-0.93,-6.44,37.78,31.69,5204.50
2022.10.03 17:24,-1.62,-1.10,-6.17,50.00,40.61,5205.00
2022.10.03 17:26,-1.67,-1.25,-5.59,56.25,47.13,5204.50
2022.10.03 17:28,-1.87,-1.41,-5.27,40.00,44.75,5203.00
2022.10.03 17:30,-1.98,-1.57,-5.28,20.00,35.11,5202.50